title,body,impact,urgency,priority
"""Back to Top"" button is on the wrong place",!image-2019-01-23-17-03-59-735.png!,3,3,3
"""Code Master Maintenance"" link is not working",See attached screenshot.,2,1,2
"""X"" should not be there",See attached screenshot.,3,3,3
(Next Phase) Missing content in form but submission allowed,"There is no form appear in this services, however when click on Submit button it goes to acknowledgement page.

!no form.gif!",1,1,1
(Phase 2) Code Maintenance - Missing 'Effective Date and Time' field in Create Code ,"After *order* field there is should be '*Effective Date & Time*' field. 

!image-2019-02-14-10-49-44-341.png!",1,3,1
(Phase 2) Missing Captcha,"Need to add google captcha here

!image-2019-01-22-13-03-45-582.png!",3,1,2
(Phase 2) Unable to login with custom account,"When I type in my email address, I can't login..

Steps taken:
 # Go to homepage
 # Click 'I don't have a SingPass or CorpPass'
 # Type in my email address
 # Click Login
 # Redirected back to homepage

!cannot login.gif!",2,1,1
(Phase 2) Update function for my Profile Module (Custom Account) is not Working,!image-2019-01-21-16-02-09-255.png!,2,2,2
3P - Tooltip overlaps with bar,"Please seee the styling error below here

Browser: Microsoft Edge

!image-2019-05-14-14-57-43-784.png|thumbnail!",3,3,3
3PND - Appointment Form - Mobile No. populated wrongly,"The mobile number was not populated correctly, the country code was added inside. Can we ignore that?

!image-2019-05-15-16-10-37-685.png|thumbnail!

The mobile number error message is also wrong lol

!image-2019-05-15-16-11-38-486.png!",2,3,2
3PND Forms - Appointment Form leads to wrong URL,"Appointment form leads to [http://internet.neaoss.xtrdev.info/apt/#/appointment/create?name=Registration-for-Clean-Singapore-Learning-Trail-(Changi-Beach)&formId=15fac789-3672-467d-9d73-c01001484a29] instead. Please amend.

!image-2019-04-30-15-53-25-145.png!

 ",1,1,1
7 Days Retain Corpse Form - Error in 'Cremation/Burial Date' field ,"After clicking 'Next' without filling any fields, the ' Cremation/Burial Date' not show inline error message and the field color not change to red

!image-2019-02-25-14-05-09-268.png!",3,3,3
7 Days Retain Corpse Form - Error in 'Death Certification No.',"After filling death certification no with invalid number, inline error message not show 

!image-2019-02-25-14-02-27-373.png!",2,3,3
7 Days Retain Corpse Form - Error in Request Information page,"Here are some error that has been found : 
 # Post Mortem Date field not show inline error message after clicking next without filling any field
 # Missing 'Send Corpse for Post Mortem' before 'Post Mortem Date' field
 # Error in styling 'Upload HSA acknowledgment letter ', should be contain allowed format and size file
 # Inline error message on 'Upload HSA Acknowledgement letter not same as format
 # Wrong field under Embalmation Information from 'address type' field until 'Building Name'. It should be replaced with Embalming Location and Embalming Facility
 # Error styling in 'Upload Certificate' should contain allowed format and size file
 # Inline error message under 'Upload Certificate' not same as format

!image-2019-02-25-14-15-59-722.png!",1,1,1
7 Days Retain Corpse Form - Error in styling 'Upload Certificate' field on deceased information,"Here are some error in Upload Certificate field :
 # Upload Certificate field should be mandatory not optional
 # The title should contain format and size file allowed e.g Upload Certificate (.pdf, .jpeg, .jpg, .png maximum size : 5MB)
 # The inline error message not same as inline error message format !image-2019-02-25-13-56-26-919.png!",3,3,3
7 Days Retain Corpse Form - Error in styling on 'Identification Number' and Date of Death field,"Here are some error that has been found : 
 # Identification Number inline error message field, not show maximum digit allowed
 #  Date of death field not show inline error message field and the field color not changes to red  !image-2019-02-25-13-59-45-637.png!",3,3,3
7 Days Retain Corpse Form - Form detail information not show in application detail page,"After submitting form and click on the eye icon to see application detail page, the form detail information not showing all information that has been filled by user 

!image-2019-02-25-16-04-39-708.png!

 ",3,3,3
Able to Edit Disabled File since The Auto Population Takes Too Long,"Building Plan Consultation Form Draft

!image-2019-02-15-19-03-40-366.png!",2,1,1
Access Management - Error message shown at the top of the page ,"Hi,

When I clicked Create button without filling any data to the field, the error is shown on the top of the page instead of the inline error message.

!image-2019-02-13-18-38-01-238.png|width=533,height=289!",3,3,3
Acknowledgement Message on eAppointment Service is Missing,"Whenever I try to edit appointment service, the value under this field is always empty

!image-2019-05-02-23-12-28-405.png!",1,2,3
Acknowledgement Missing for All Forms,"# Still missing acknowledgement message
 # Success icon still not appear

!image-2019-01-16-15-38-40-256.png!",3,2,3
Acknowledgement Page Errors,"After clicking on 'Download' button in the submission page, I am directed to the previous page (confirmation page). I then tried to click 'Submit' and was unable to.

Pls view console error here.

!image-2019-01-09-22-16-38-516.png!",1,2,2
Acronyms at Service Page,"Use of acronyms eg LoA, OA (see attached screen shot) .... would MOP / Funeral Directors know what it means? Should we not spell out in full before using the acronym?",3,3,3
Active Application/Appointment Service List not showing up any service,!image-2019-01-04-15-33-26-650.png!,1,1,2
Active Custom Account Summary Still Not Working,"Already ask [~edmund] about this, it seems like the API from Custom Account module is down",2,2,2
Active Service Summary Card unable to redirect user to the particular page,"The following card should be able to redirect the user to a certain page

!image-2019-01-04-15-32-51-411.png!",2,2,3
Activity type search dose not work for audit trail,"!image-2019-05-10-16-15-37-737.png!

 

 

!image-2019-05-10-16-16-18-326.png! 
No result is returned",3,3,3
Add Anticipatory Service,!image-2019-01-22-19-42-09-407.png!,3,3,3
Add Department field for Application Service Mode B and C,"Please help add the department field under mode B and Mode C

!image-2019-03-05-17-06-48-636.png!",3,3,2
Add Header for every form,"We need to add the header to our forms

!image-2019-03-01-15-37-45-828.png!

!image-2019-03-01-15-37-08-669.png!

 ",3,2,1
Add NRIC field,"Add NRIC field so that if MyInfo is down, user can input NRIC and proceed to make an appointment

 

!image-2019-04-17-20-02-08-802.png!",2,1,2
Add New Accordion is not working,"The form is not appear, it supposed to show similar fields as first accordion.

!image-2019-01-11-12-10-06-713.png!",2,2,3
Add System Administration and Code Maintenance to the Global Menu for Dept User,!image-2019-02-13-17-23-28-375.png!,3,3,2
Add View Function for Role Management and Scope Management,!image-2019-01-30-17-52-47-096.png!,3,3,3
Add/Update NOK - LOVs missing,"Please add the LOVs for these 2 cemeteries:

Christian (PR)

Christian (RC)

!image-2019-05-06-18-04-53-585.png!",3,2,3
Addition of Cremated Remains to Niche/Grave in ePortal Internet,"SingPass login
Although user already logged in via SingPass, no auto-population of MyInfo details",3,2,3
Addition of Cremated Remains to Niche/Grave in ePortal Internet,"When 'Save as Draft', when click on 'eye' icon, nothing comes out",2,2,1
Addition of Cremated Remains to Niche/Grave in ePortal Internet,Not able to proceed further after selecting Yes as the Requestor,1,1,1
Addition of Cremated Remains to Niche/Grave in ePortal Internet,"When selected Chinese Cemetery, block no. shows presence of Muslim cemetery etc. which is incorrect
When selected Mandai Columbarium, block no. shows presence of CCK columbarium which is incorrect",3,2,2
Addition of Cremated Remains to Niche/Grave in ePortal Internet,"SingPass login
Why Postal Code does not have retrieve mechanism?",3,3,3
Addition of Cremated Remains to Niche/Grave in ePortal Internet,"SingPass login
Not able to proceed further after selecting No as the Requestor and providing all requested valid information",1,1,1
"Additional ""X"" button appear in the search field","When inputting a text in the search textfield, additional ""X"" button appears.

Browser: IE

!search_UI.jpeg|thumbnail!",3,3,2
Address fields greyed out in the wrong places,"*Expected:*

Address fields are not greyed out, as they are still editable until it has been retrieved using postal code.

*Actual:*

**Floor/Unit is greyed out. This is not populated, therefore should not be grey.

!image-2019-01-09-22-06-25-032.png!",3,3,3
Advance Search Function Search Incorrect,"Payment method value does not match, also need to change to the real value Like a credit card, eNets, Debit card, etc

!image-2019-04-02-23-32-38-981.png!",3,3,3
Advanced Search not Working,"Advanced search for ""Type"" Is not working

!image-2019-01-16-15-23-15-745.png!",3,3,3
Advanced Search on Service Category List is not working properly,"The advanced search somehow did not return the result that I want.

!image-2019-01-07-16-22-00-855.png!",3,3,3
Advanced Search without Column,"There is a status advanced search but there is no status column on the listing

!image-2019-01-10-15-36-50-661.png!",3,3,3
"After Create a Function under Service on Healthcheck, the Function did not appear directly","The service will appear after we go back to service list, then click on the function list again

!image-2019-02-09-00-14-55-294.png!",3,3,1
"After Death should be ""After Death"" not ""After Deaths""",!image-2019-01-30-17-22-19-609.png!,3,3,3
"After I delete my custom account in intranet, I still able to login in internet",-,2,2,2
"After Submitting Outbound Document, the Owner Info Changed",!image-2019-04-12-20-23-28-752.png!,2,2,1
After login from introduction page should redirect to the form,"Currently, after user login from the introduction page, they will be redirected to the homepage which is not correct

!image-2019-02-08-11-26-29-859.png!",3,3,2
"After selecting access Mode, Some fields under create application is Missing",!image-2019-02-01-16-19-03-120.png!,3,3,1
Alert message are cropped when minimize desktop window,"Alert message ""You are about to close this form"" are cropped when minimize desktop window.

 

Such issue not appearing when test using ipad or iPhone.

 

+{color:#172b4d}Alert message when minimize window{color}+

!image-2019-04-09-19-08-12-875.png!

 

+Alert message when maximize window+

!image-2019-04-09-19-05-33-870.png!",3,3,3
Align the content center,!image-2019-01-22-19-20-15-550.png!,3,3,3
Alignment Issue for Quick Links,See attached screenshots.,3,3,3
Alignment Issue in System Administration page,See attached screenshot.,3,3,3
Alignment and position of the button,!image-2019-01-23-18-17-29-272.png!,3,3,3
Alignment became weird when the window is resize,See attached screenshots.,3,3,3
Alignment issue in Edit Maintenance,See attached screenshot.,3,3,3
Alignment issue in Scope Listing Action,See attached screenshot.,3,3,3
Alignment issue in dashboard,"1) Alignment of *. See attached screenshot with red box.

2) Why is there a tick symbol? See attached screenshot with orange box.",3,3,3
"All Service is Under ""Maintenance"" Status on Internet",!image-2019-02-09-23-32-20-434.png!,2,2,2
Alt text for logos are incorrect,"Correct alt should be:
 # A Singapore Government Agency Website
 # National Environment Agency

!image-2019-01-27-17-34-36-292.png!",3,3,3
Amend page title to NEA ePortal,"According to DSS clause:
All .gov.sg digital services shall implement the following so as to be easily searchable by search engines:
 * Update the content regularly so as to enhance the digital services’ relevance to the search engines;
 * Configure the agency homepage’s ‘Title Metadata’ as: Title << Agency's full name (Agency's acronym) >> (e.g. Agency ABC (ABC)) and for other pages, configure the as <<Agency's acronym | Title for the page>> (e.g. Agency | Appointment Service); and
 * Configure the ‘Description Metadata’ to include a concise description of the digital service, which the browser will use in the page search return.

 

I see that for ePortal, our page title is NEA One Stop Service. Can we change it to NEA ePortal instead for the *homepage?*

!image-2019-03-06-19-07-56-809.png!

 

For inner pages, can we do NEA ePortal | <page title> e.g NEA ePortal | eServices, NEA ePortal | Announcements, NEA ePortal | Who We Are",3,3,3
Announcement Must Resize the Image Inside It,"Currently, if there is a message the image will look like this. I think we need a function to resize

!image-2019-01-25-16-26-54-597.png!",3,3,3
Announcements Pagination on Internet is Not Aligned,"The number is not aligned

!image-2019-01-23-11-58-31-490.png!",3,3,3
Any URL should open new browser tab,See attached screenshot.,3,3,3
Application Reference No,"Please follow the following reference no format for you reference no.
X is the service code
R is the random number
y is year
M is month
d is day

!image-2019-04-02-21-28-08-430.png!",2,3,3
Application for Niche - Applicant Information - Citizenship only shows 1 option,"*Reporter* : Shan Jun

*Env :* STG

*Device* : Mobile

*Details :* 

**Trying to fill in the citizenship but the citizenship only shows 1 option. 

!https://mail.google.com/mail/u/0?ui=2&ik=a6be244e97&attid=0.3&permmsgid=msg-f:1647621124475892176&th=16dd86aee8d0b1d0&view=fimg&sz=s0-l75-ft&attbid=ANGjdJ-1pHZPonMa3NjlVsOzmHEXsyaHkzd2Ummw1qMpHvDqZ518MMGkaBvuc5VGAOACz5SkFZN7R73qTSy4vekBdFCG1QhP8TItzciHu2u2uls5diOjZFy3AnvjknM&disp=emb|width=484,height=1047!

 ",2,2,2
"Application for Niche - Deceased Details -  no mandatory check for Death Cert Date, Date of Birth and Date of Death","*Reporter :* Shan Jun 

*Env* ; STG

*Device :* Mobile

*Details:* 

1. when ""Death Certificate"" selected, with Death Cert No system can retrieve details already. Mandatory checking on Death Cert Date, Date of Birth and Date of Death are missing

!https://mail.google.com/mail/u/0?ui=2&ik=a6be244e97&attid=0.4&permmsgid=msg-f:1647621124475892176&th=16dd86aee8d0b1d0&view=fimg&sz=s0-l75-ft&attbid=ANGjdJ-GiWiGwuDE_x5kq9r7dbNTV-6w9KiRCvbStG1WJLti_DXtPja0nF6DeRB6zyMlsSe8ppXXyDKPev9cPuCw9KuURPXozhbg3RBBofT82fGnpcxjVkBJ2s4HZWg&disp=emb|width=390,height=779!

 

2. When ""Permit to Cremate"" selected, mandatory checking for Date of Birth and Date of Death are missing

!https://mail.google.com/mail/u/0?ui=2&ik=a6be244e97&attid=0.5&permmsgid=msg-f:1647621124475892176&th=16dd86aee8d0b1d0&view=fimg&sz=s0-l75-ft&attbid=ANGjdJ_sV1F-OEnzELXDfyh4-ozhD0U-n92znGDqvEaPkT-nEnKe4Z_NDA1-EQEHPVyox9us0p5b_f0-zdrMKemi6g7K3HVedd4A96vOHnAolYO8IuI_5-g8HkBh5SU&disp=emb|width=254,height=412!

 

3. Mandatory checking on upload death cert and upload passport are missing

!https://mail.google.com/mail/u/0?ui=2&ik=a6be244e97&attid=0.6&permmsgid=msg-f:1647621124475892176&th=16dd86aee8d0b1d0&view=fimg&sz=s0-l75-ft&attbid=ANGjdJ_rWKHuwkMNbd_BKtTmJMBf5S1g7sLCn4NOEmRTdI6YPd8flZChgYO8O6l6JwuSVFdsVXkAZZWc0b7vC67zMqWf4GM5mxnbT4cB6K_XvkiB5A6QxpgMhafUiHw&disp=emb|width=445,height=698!

 

4. Religion - the link to ""Apply for Burial"" is wrong

!https://mail.google.com/mail/u/0?ui=2&ik=a6be244e97&attid=0.7&permmsgid=msg-f:1647621124475892176&th=16dd86aee8d0b1d0&view=fimg&sz=s0-l75-ft&attbid=ANGjdJ-S3Kb60kXGLOtAjGZW8g2Owpu-6ptkIrjg2u1ABQZ7x_6oQU48tSf8mkxlbYGKk2UCgpjBoc4PqebYaTAcFJI0zd1awu2qFhQzyZA3g_ePLkYkAfpdfDXk56E&disp=emb|width=433,height=1022!

 

5. For Foetus, the race only chinese and Malay

!https://mail.google.com/mail/u/0?ui=2&ik=a6be244e97&attid=0.8&permmsgid=msg-f:1647621124475892176&th=16dd86aee8d0b1d0&view=fimg&sz=s0-l75-ft&attbid=ANGjdJ_aR2keV6mphU68sKBgCX2wrM4adruYJktws-IVlchOKKPAeXR2kvLTc3dO4WLv9db6Kt_xXUtNOfC4PPFyX5syxk4DxcwAHZFb3hDtsUWZxmOUTeK_DB_KSHU&disp=emb|width=485,height=938!",2,2,2
Application for Niche - Incorrect Service Title,"*Reporter :* Shan Jun

*Env* : STG

*Device* : Mobile

*Details:* 

The title for Application for Niche is wrong, please see the attached screenshots below. Should be Application for Niche at Government Managed Columbaria. 

!https://mail.google.com/mail/u/0?ui=2&ik=a6be244e97&attid=0.1&permmsgid=msg-f:1647621124475892176&th=16dd86aee8d0b1d0&view=fimg&sz=s0-l75-ft&attbid=ANGjdJ9_ofOC5jVDvwhSZVyNSIvQzXAgZG6OLWiZYaDCQhgRKyRhSaSk2y3bHp4sokRyjDA_XSr6ExK61MMno9hZLFBgv-zGbsQ6xANxywi7en9_l_fJgYoZQeZDLXA&disp=emb|width=293,height=424!",3,3,3
Application for Surrender of Niche Lease and Removal of Urn with,"The page is blank if use singpass account

!image-2019-02-08-10-59-34-889.png!",1,1,2
Application is not Clickable on Mobile Version,!image-2019-02-10-15-22-11-737.png!,2,2,2
Application to Retain Corpse - Form details not show in application detail page,"Form details not show 

!image-2019-02-20-21-29-06-841.png!",3,2,2
